"filename", "language", "C++", "Python", "JSON", "C#", "comment", "blank", "total"
"c:\Users\F_CIL\ProjectFC\CodeForVSC\CSharp\Program.cs", "C#", 0, 0, 0, 25, 0, 8, 33
"c:\Users\F_CIL\ProjectFC\CodeForVSC\CSharp\Solutions\Extensions\Extensions.cs", "C#", 0, 0, 0, 52, 20, 9, 81
"c:\Users\F_CIL\ProjectFC\CodeForVSC\CSharp\Solutions\Watershed.cs", "C#", 0, 0, 0, 79, 28, 7, 114
"c:\Users\F_CIL\ProjectFC\CodeForVSC\LH.cpp", "C++", -95, 0, 0, 0, -1, -15, -111
"c:\Users\F_CIL\ProjectFC\CodeForVSC\LH.json", "JSON", 0, 0, 14, 0, 0, 1, 15
"c:\Users\F_CIL\ProjectFC\CodeForVSC\Python\lh.py", "Python", 0, 17, 0, 0, 7, 11, 35
"c:\Users\F_CIL\ProjectFC\CodeForVSC\YingPTA.cpp", "C++", 56, 0, 0, 0, 0, 2, 58
"c:\Users\F_CIL\ProjectFC\CodeForVSC\YingPTA_template.cpp", "C++", 91, 0, 0, 0, 0, 14, 105
"c:\Users\F_CIL\ProjectFC\CodeForVSC\la1002.cpp", "C++", 41, 0, 0, 0, 14, 7, 62
"c:\Users\F_CIL\ProjectFC\CodeForVSC\la1009.cpp", "C++", 44, 0, 0, 0, 0, 4, 48
"c:\Users\F_CIL\ProjectFC\CodeForVSC\la1017.cpp", "C++", 114, 0, 0, 0, 5, 29, 148
"c:\Users\F_CIL\ProjectFC\CodeForVSC\la1019.cpp", "C++", 45, 0, 0, 0, 0, 7, 52
"c:\Users\F_CIL\ProjectFC\CodeForVSC\la1021.cpp", "C++", 71, 0, 0, 0, 7, 19, 97
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1005.cpp", "C++", 51, 0, 0, 0, 3, 7, 61
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1008.cpp", "C++", 36, 0, 0, 0, 0, 5, 41
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1016.cpp", "C++", 32, 0, 0, 0, 0, 5, 37
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1023.cpp", "C++", 30, 0, 0, 0, 0, 5, 35
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1025.cpp", "C++", 69, 0, 0, 0, 15, 10, 94
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1025digui.cpp", "C++", 61, 0, 0, 0, 28, 20, 109
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1031.cpp", "C++", 32, 0, 0, 0, 2, 4, 38
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1035.cpp", "C++", 10, 0, 0, 0, 0, 5, 15
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1078.cpp", "C++", 53, 0, 0, 0, 6, 6, 65
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1094.cpp", "C++", 42, 0, 0, 0, 1, 2, 45
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1098.cpp", "C++", 30, 0, 0, 0, 0, 4, 34
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb1106.cpp", "C++", 12, 0, 0, 0, 0, 5, 17
"c:\Users\F_CIL\ProjectFC\CodeForVSC\lb112.cpp", "C++", 51, 0, 0, 0, 1, 5, 57
"Total", "-", 876, 17, 14, 156, 136, 186, 1385